"REFERENCIA","CREDITOS","OFERTADA","NOMBRE","CURSO","CARACTER","DURACION","Unidad_Temporal_(Cuatrimestre)","IDIOMAS_DE_IMPARTICION","TITULACION_CODIGO","CODIGO"
"50664",6,"Sí  ","Métodos Estadísticos para la Computación",1,"","2º Semestre",,"",1041,107
"50665",6,"Sí  ","Organización Empresarial",1,"","2º Semestre",,"",1041,108
"50666",6,"Sí  ","Programación Orientada a Objetos",1,"","2º Semestre",,"Solo un grupo",1041,109
"50667",6,"Sí  ","Tecnología de Computadores",1,"","2º Semestre",,"Solo un grupo",1041,110
"50994",6,"Sí  ","Análisis y Diseño de Algoritmos",2,"","1º Semestre",,"Solo un grupo",1041,201
"50995",6,"Sí  ","Bases de Datos",2,"","1º Semestre",,"Solo un grupo",1041,202
"50996",6,"Sí  ","Estructura de Computadores",2,"","1º Semestre",,"Solo un grupo",1041,203
"50997",6,"Sí  ","Estructura de Datos",2,"","1º Semestre",,"Solo un grupo",1041,204
"50998",6,"Sí  ","Teoría de Autómatas y Lenguajes Formales",2,"","1º Semestre",,"Solo un grupo",1041,205
"50999",6,"Sí  ","Introducción a la Ingeniería del Software",2,"","2º Semestre",,"Solo un grupo",1041,206
"51000",6,"Sí  ","Programación de Sistemas y Concurrencia",2,"","2º Semestre",,"Solo un grupo",1041,207
"51001",6,"Sí  ","Redes y Sistemas Distribuidos",2,"","2º Semestre",,"Solo un grupo",1041,208
"51002",6,"Sí  ","Sistemas Inteligentes",2,"","2º Semestre",,"Solo un grupo",1041,209
"51003",6,"Sí  ","Sistemas Operativos",2,"","2º Semestre",,"Solo un grupo",1041,210
"51007",6,"Sí  ","Introducción a los Sistemas de Información",3,"","1º Semestre",,"",1041,301
"51009",6,"Sí  ","Procesadores de Lenguajes",3,"","1º Semestre",,"",1041,302
"51011",6,"Sí  ","Seguridad de la Información",3,"","1º Semestre",,"",1041,303
"51015",6,"Sí  ","Administración de Bases de Datos",3,"","2º Semestre",,"",1041,305
"51025",6,"Sí  ","Sistemas de Información para Internet",3,"","2º Semestre",,"",1041,306
"51024",6,"Sí  ","Sistemas Inteligentes II",3,"","2º Semestre",,"",1041,307
"51008",6,"Sí  ","Lógica Computacional",3,"","1º Semestre",,"",1041,310
"51016",6,"Sí  ","Algoritmia y Complejidad",3,"","2º Semestre",,"",1041,311
"51017",6,"Sí  ","Análisis y Diseño de los Sistemas de Información",3,"","1º Semestre",,"",1041,320
"51013",6,"Sí  ","Sistemas de Información Empresarial",3,"","2º Semestre",,"",1041,321
"51005",6,"Sí  ","Desarrollo de Servicios Telemáticos",3,"","1º Semestre",,"",1041,330
"51022",6,"Sí  ","Modelos Estadísticos y Simulación",3,"","2º Semestre",,"",1041,331
"51055",6,"Sí  ","Proyectos y Legislación",4,"","2º Semestre",,"",1041,401
"51029",6,"Sí  ","Aprendizaje Computacional",4,"","1º Semestre",,"",1041,410
"51036",6,"Sí  ","Modelos de la Computación",4,"","1º Semestre",,"",1041,411
"51041",6,"Sí  ","Robótica",4,"","1º Semestre",,"",1041,412
"51046",6,"Sí  ","Teoría de los Lenguajes de Programación",4,"","1º Semestre",,"",1041,413
"51027",6,"Sí  ","Administración de Redes y Sistemas",4,"","1º Semestre",,"",1041,420
"51032",6,"Sí  ","Dirección de Proyectos de Sistemas de Información",4,"","1º Semestre",,"",1041,421
"51034",6,"Sí  ","Diseño y Explotación de Almacenes de Datos",4,"","1º Semestre",,"",1041,422
"51037",6,"Sí  ","Negocio Electrónico",4,"","1º Semestre",,"",1041,423
"51028",6,"Sí  ","Administración de Sistemas Operativos",4,"","1º Semestre",,"",1041,430
"51033",6,"Sí  ","Diseño y Evaluación de Infraestructuras Informáticas",4,"","1º Semestre",,"",1041,431
"51038",6,"Sí  ","Planificación de Proyectos y Análisis de Riesgos",4,"","1º Semestre",,"",1041,432
"51043",6,"Sí  ","Tecnología de los Sistemas de Producción",4,"","1º Semestre",,"",1041,433
"51059",12,"Sí  ","Trabajo Fin de Grado (Informática)",4,"","2º Semestre",,"",1041,450
"53158",6,"No  ","Ampliación de Física",3,"","1º Semestre",,"",1041,801
"51047",6,"Sí  ","Arquitecturas Virtuales",4,"","1º Semestre",,"",1041,802
"51031",6,"Sí  ","Desarrollo de Software Crítico",4,"","1º Semestre",,"",1041,803
"51006",6,"Sí  ","Electrónica Digital",3,"","1º Semestre",,"",1041,804
